Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
70,0.46,0.49,0.44,0.47,0.58
71,0.46,0.48,0.43,0.46,0.57
72,0.46,0.48,0.43,0.46,0.57
73,0.45,0.47,0.42,0.45,0.56
74,0.45,0.47,0.42,0.45,0.56
75,0.45,0.46,0.41,0.45,0.55
76,0.44,0.45,0.41,0.45,0.54
77,0.44,0.45,0.39,0.44,0.53
78,0.43,0.45,0.39,0.44,0.53
79,0.43,0.44,0.37,0.43,0.52
80,0.43,0.43,0.37,0.43,0.52
81,0.42,0.42,0.36,0.43,0.50
82,0.42,0.41,0.36,0.43,0.49
83,0.41,0.41,0.35,0.42,0.49
84,0.41,0.41,0.35,0.41,0.49
85,0.41,0.40,0.35,0.41,0.49
86,0.40,0.40,0.35,0.41,0.48
87,0.39,0.40,0.34,0.40,0.48
88,0.39,0.39,0.34,0.39,0.48
89,0.38,0.39,0.33,0.39,0.47
90,0.38,0.38,0.33,0.38,0.47
91,0.38,0.38,0.32,0.38,0.47
92,0.37,0.37,0.32,0.38,0.47
