UF;CodUF;Codmundv;Codmun;nomemun;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR11;VAR12;VAR13;VAR14;VAR15;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24
PE;26;2604106;260410;Caruaru;720;0;314912;2420401,416;2A;Capital Regional C;;;;;;;;;;;;;603;65;;;;
AL;27;2704302;270430;Maceió;1080537;2596116;932748;10264217,824;2A;Capital Regional A;20632;224667;63343;586550;145306;984160;283682;1646140;454403;2247845;317212;2654097;570812;9953633;687641;11312106;355;04:38:08
SE;28;2800308;280030;Aracaju;714802;2063134;571149;7069447,844;2A;Capital Regional A;27637;414957;57091;675608;139506;1257694;166687;1471915;237826;1704409;189058;2305307;302074;6253237;448871;7280818;349;04:16:08
BA;29;2903201;290320;Barreiras;18718;59;137427;1693253,608;2C;Capital Regional C;;;;;;;;;;;7475;11072;16617;212630;14713;195493;481;04:46:02
BA;29;2903904;290390;Bom Jesus Da Lapa;1438;2935;63480;351413,064;3B;Centro Subregional B;;;;;;;;;;;1618;3648;1831;20476;1669;20171;;
BA;29;2911709;291170;Guanambi;2317;2661;78833;491441,549;3A;Centro Subregional A;;;;;;;;;;;1630;9491;1485;17440;1227;11621;;
BA;29;2913606;291360;Ilhéus;362944;1446624;184236;1925639,853;2B;Capital Regional B;;;;;;;86757;437305;171653;621751;130480;907831;185359;3924618;239631;5018817;397;05:26:26
BA;29;2919306;291930;Lençóis;1893;472;10368;52895,793;5;Centro Local;;;;;;;;;;;;;;;4798;67162;;
BA;29;2922003;292200;Mucuri;70;0;36026;1009100,248;5;Centro Local;;;;;;;;;;;14503;36146;4488;84824;3420;83343;;
BA;29;2925303;292530;Porto Seguro;847453;334477;126929;805236,413;4A;Centro de Zona A;;;;;;;;;;;505001;185441;532472;6324165;693696;9601734;339;04:23:15
BA;29;2927408;292740;Salvador;6391352;39475055;2675656;32824228,577;1C;Metrópole;238301;3129306;503164;6259672;960370;10220563;1154813;15426960;1586626;30279779;1611509;29318111;2791488;65233109;3807749;79678635;211;02:36:13
BA;29;2932507;293250;Una;13803;1387;24110;108985,73;5;Centro Local;;;;;;;;;;;;;43958;518086;31620;491295;;
BA;29;2933307;293330;Vitória Da Conquista;51806;9531;306866;3142676,823;2B;Capital Regional B;;;;;;;;;;;7280;24623;43450;598070;22902;311239;409;05:17:36
MG;31;3104007;310400;Araxá;23305;321;93672;1980481,751;4A;Centro de Zona A;;;;;;;;;;;;;;;26095;206651;469;05:52:44
MG;31;3106200;310620;Belo Horizonte;5847509;13329341;2375151;44595204,906;1C;Metrópole;372020;2230362;687435;4081911;1123367;6147337;1035105;11107805;1245923;12632199;1683252;12226636;2758907;39054960;3882245;52526450;186;02:12:13
MG;31;3121605;312160;Diamantina;4334;0;45880;287632,032;4A;Centro de Zona A;;;;;;;;;;;;;;;;;;
MG;31;3127701;312770;Governador Valadares;54849;52;263689;2845813,937;2C;Capital Regional C;;;;;;;;;;;11261;31799;15746;209535;74049;620671;413;06:06:07
MG;31;3131307;313130;Ipatinga;113937;1811;239468;5659343,956;2C;Capital Regional C;;;;;;;;;;;;;;;;;;05:58:00
MG;31;3136702;313670;Juiz De Fora;48677;21457;516247;7423137,789;2B;Capital Regional B;;;;;;;;;;;7268;16720;44561;513913;24050;199503;333;05:07:36
MG;31;3143302;314330;Montes Claros;80479;710;361915;3815101,234;2B;Capital Regional B;;;;;;;10080;52850;13541;76180;20688;50916;;;76756;738043;307;04:44:49
MG;31;3162500;316250;São João Del Rei;19458;104;84469;822362,009;3B;Centro Subregional B;;;;;;;;;;;;;;;;;;
MG;31;3170107;317010;Uberaba;66619;15328;295988;6489508,609;2C;Capital Regional C;;;;;;;7340;29374;21524;54459;35148;149146;63472;799699;53217;447048;465;05:43:26
MG;31;3170206;317020;Uberlândia;596916;906859;604013;16165949,541;2B;Capital Regional B;;;;;;;28256;122330;31819;222114;132838;466938;336357;4631843;532497;6070523;285;04:02:33
MG;31;3170701;317070;Varginha;1806;0;123081;3046304,012;2C;Capital Regional C;;;;;;;;;;;9587;32506;12120;119638;;;;
ES;32;3205309;320530;Vitória;2220272;5668942;327801;19782627,87;2A;Capital Regional A;72976;465659;135271;605395;296270;1240095;287661;1760753;410878;2475871;497254;3060516;886818;14382498;1385960;22380182;294;03:46:08
RJ;33;3300100;330010;Angra Dos Reis;193;0;169511;4526169,167;3B;Centro Subregional B;;;;;;;;;;;257;0;281;0;;;;
RJ;33;3300233;330023;Armação De Búzios;147;0;27560;930198,029;5;Centro Local;;;;;;;;;;;;;;;;;;
RJ;33;3300704;330070;Cabo Frio;7291;1095090;186227;4596004,394;3A;Centro Subregional A;;;;;;;;;;;;;283;948;;;;
RJ;33;3301009;330100;Campos Dos Goytacazes;6929;0;463731;19581276,18;2C;Capital Regional C;;;;;;;;;;;6126;34402;21244;156796;7546;43587;;
RJ;33;3302205;330220;Itaperuna;12;0;95841;1283837,098;3A;Centro Subregional A;;;;;;;;;;;;;;;;;;
RJ;33;3302403;330240;Macaé;15154;0;206728;7057281,733;3A;Centro Subregional A;;;;;;;;;;;133;2992;218;3397;21871;98954;424;08:24:02
